gene	cell_type	AAB_vs_Control	tau	top_celltype	above_floor	call	is_called_ct	confident_call
LMO7	acinar cell	0.08812589943408966	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LMO7	alpha cell	0.048970937728881836	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LMO7	beta cell	0.020602688193321228	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LMO7	delta cell	0.10000315308570862	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LMO7	duct epithelial cell	0.13926345109939575	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	True	True
LMO7	endothelial cell	0.0009331766050308943	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LMO7	epsilon cell	-0.15794280171394348	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LMO7	leukocyte	-0.018320439383387566	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LMO7	mesenchymal cell	0.010976698249578476	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LMO7	unknown	-0.0021293088793754578	0.8198183924680615	duct epithelial cell	True	duct epithelial cell	False	True
LINC02773	PP cell	0.0	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	acinar cell	-0.00022730379714630544	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	alpha cell	-0.0003759902319870889	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	beta cell	0.0002797563502099365	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	delta cell	0.0025483001954853535	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	duct epithelial cell	0.00017601544095668942	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	endothelial cell	-0.001801188918761909	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	epsilon cell	0.0	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	leukocyte	-0.003703379537910223	0.819626323169713	leukocyte	False	below detection	True	False
LINC02773	mesenchymal cell	0.0010914936428889632	0.819626323169713	leukocyte	False	below detection	False	False
LINC02773	unknown	-0.000144255391205661	0.819626323169713	leukocyte	False	below detection	False	False
SH2B3	PP cell	-0.005569029599428177	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	acinar cell	0.01851024106144905	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	alpha cell	0.038211286067962646	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	beta cell	0.005667377263307571	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	delta cell	-0.011007441207766533	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	duct epithelial cell	0.003195047378540039	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	endothelial cell	-0.01360727846622467	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	epsilon cell	0.008746970444917679	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	leukocyte	0.11279135942459106	0.8157414592903937	leukocyte	True	leukocyte	True	True
SH2B3	mesenchymal cell	-0.016316503286361694	0.8157414592903937	leukocyte	True	leukocyte	False	True
SH2B3	unknown	-0.001185145229101181	0.8157414592903937	leukocyte	True	leukocyte	False	True
NR4A3	PP cell	0.007646382786333561	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	acinar cell	0.008121814578771591	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	alpha cell	0.019730372354388237	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	beta cell	-0.008306624367833138	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	delta cell	0.015405158512294292	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	duct epithelial cell	0.005152436438947916	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	endothelial cell	0.02393377386033535	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	epsilon cell	0.028607504442334175	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	leukocyte	-0.02962401509284973	0.8155264717307382	leukocyte	False	below detection	True	False
NR4A3	mesenchymal cell	0.03808608651161194	0.8155264717307382	leukocyte	False	below detection	False	False
NR4A3	unknown	0.008022486232221127	0.8155264717307382	leukocyte	False	below detection	False	False
LINC02649	PP cell	-0.0037265976425260305	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	acinar cell	0.0005948831094428897	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	alpha cell	0.00015037308912724257	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	beta cell	-0.00019970204448327422	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	delta cell	-0.00047573589836247265	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	duct epithelial cell	0.00400996208190918	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	endothelial cell	-4.687544424086809e-05	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	epsilon cell	0.0	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	leukocyte	-0.005208760965615511	0.8152857469789115	leukocyte	False	below detection	True	False
LINC02649	mesenchymal cell	-0.00032505037961527705	0.8152857469789115	leukocyte	False	below detection	False	False
LINC02649	unknown	0.0008077265229076147	0.8152857469789115	leukocyte	False	below detection	False	False
ITGB8	PP cell	-0.03819909691810608	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	acinar cell	0.003361545503139496	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	alpha cell	0.01678648591041565	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	beta cell	-0.0055704303085803986	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	delta cell	0.04174882173538208	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	duct epithelial cell	0.12310364842414856	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	True	True
ITGB8	endothelial cell	-0.0038750271778553724	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	epsilon cell	-0.17536333203315735	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	leukocyte	0.12594544887542725	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	mesenchymal cell	0.04508565366268158	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
ITGB8	unknown	0.01536460593342781	0.8149215772405943	duct epithelial cell	True	duct epithelial cell	False	True
MIR3681HG	PP cell	0.0	0.8076662284435748	mesenchymal cell	False	below detection	False	False
MIR3681HG	acinar cell	-0.00017032746109180152	0.8076662284435748	mesenchymal cell	False	below detection	False	False
MIR3681HG	alpha cell	-6.528089579660445e-05	0.8076662284435748	mesenchymal cell	False	below detection	False	False
MIR3681HG	beta cell	7.354016997851431e-05	0.8076662284435748	mesenchymal cell	False	below detection	False	False
